Reactions of gene	Accession-2
	CBE89_08815
RXN27OU-3	CBE89_10390
	CBE89_09480
TRANS-RXN27OU-12	CBE89_09585
	CBE89_10955
3.4.11.1-RXN	CBE89_04915
	CBE89_11615
	CBE89_00565
	CBE89_08935
PHOSMANMUT-RXN // PHOSPHOGLUCMUT-RXN // RXN-16997 // RXN-16998	CBE89_10235
ASPCARBTRANS-RXN	CBE89_07630
RXN1YI0-11 // GAPOXNPHOSPHN-RXN	CBE89_09150
PHOSPHAGLYPSYN-RXN	CBE89_05870
DTDPDEHYRHAMREDUCT-RXN // DTDPDEHYDRHAMEPIM-RXN	CBE89_12485
RXN-8269	CBE89_08755
	CBE89_02175
	CBE89_09255
	CBE89_11460
TRANS-RXN-104	CBE89_08325
METHYLISOCITRATE-LYASE-RXN	CBE89_10855
GSAAMINOTRANS-RXN	CBE89_11980
	CBE89_05745
	CBE89_00125
	CBE89_03370
	CBE89_03245
	CBE89_07940
	CBE89_05005
	CBE89_08625
	CBE89_02455
	CBE89_06315
	CBE89_07995
	CBE89_12595
	CBE89_12355
	CBE89_03080
RXN0-5131	CBE89_09755
	CBE89_11550
	CBE89_07000
	CBE89_00825
	CBE89_08280
2.7.1.148-RXN	CBE89_09265
	CBE89_07285
	CBE89_06560
GLUCOSAMINE-6-P-DEAMIN-RXN	CBE89_12520
RXN0-5462	CBE89_04370
	CBE89_08715
TRANS-RXN-125 // TRANS-RXN27OU-3	CBE89_03570
	CBE89_00455
	CBE89_09710
DETHIOBIOTIN-SYN-RXN // RXN1ZN3-9 // RXN1ZN3-10	CBE89_00690
	CBE89_05115
	CBE89_03290
	CBE89_08465
	CBE89_01515
	CBE89_06475
RXN0-5062	CBE89_10525
	CBE89_03845
	CBE89_11870
	CBE89_04725
	CBE89_07705
	CBE89_09650
	CBE89_00960
	CBE89_06015
	CBE89_09175
GCVMULTI-RXN // GCVP-RXN // GCVT-RXN // RXN-8629	CBE89_04885
	CBE89_06280
RXN-16706	CBE89_07200
	CBE89_04530
	CBE89_04235
	CBE89_12145
	CBE89_02015
	CBE89_02195
TRANS-RXN27OU-25	CBE89_03920
	CBE89_07425
	CBE89_02685
TRANS-RXN27OU-21 // TRANS-RXN27OU-20	CBE89_02805
	CBE89_02530
	CBE89_11800
	CBE89_09000
	CBE89_01685
	CBE89_11280
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_08845
	CBE89_07080
RXN0-1061	CBE89_11340
	CBE89_00830
	CBE89_02330
	CBE89_01760
PRAISOM-RXN	CBE89_13200
	CBE89_11720
ATPPHOSPHORIBOSYLTRANS-RXN	CBE89_07240
RXN27OU-3 // RXN27OU-4	CBE89_10395
RXN1G-2	CBE89_08685
	CBE89_00215
PGLUCISOM-RXN	CBE89_09520
	CBE89_10240
	CBE89_12110
	CBE89_10640
	CBE89_09805
	CBE89_05875
	CBE89_07795
	CBE89_06775
RXN-17362	CBE89_05180
	CBE89_01390
	CBE89_06335
METHIONYL-TRNA-FORMYLTRANSFERASE-RXN	CBE89_07570
	CBE89_09455
	CBE89_07525
	CBE89_05750
	CBE89_12625
	CBE89_08125
	CBE89_12270
	CBE89_00135
ACETOLACTATE-DECARBOXYLASE-RXN	CBE89_10690
	CBE89_07835
	CBE89_04690
	CBE89_06885
	CBE89_03560
TRANS-RXN27OU-4	CBE89_02605
	CBE89_09945
ADENYL-KIN-RXN	CBE89_11520
CHMS-DEHYDROGENASE-RXN	CBE89_01315
RXN0-2661	CBE89_02810
3.4.23.43-RXN	CBE89_06655
THIOESTER-RXN // RXN0-5390	CBE89_03085
	CBE89_06145
	CBE89_11555
	CBE89_02400
	CBE89_01830
RXN-15005 // ACETYLGLUTKIN-RXN	CBE89_06840
	CBE89_00835
	CBE89_02950
RXN0-5422	CBE89_12960
3.4.11.2-RXN	CBE89_01185
DIHYDROFOLATEREDUCT-RXN // RXN-19329 // RXN-18357	CBE89_09545
	CBE89_11230
	CBE89_00460
	CBE89_04485
XYLULOKIN-RXN	CBE89_06195
	CBE89_00700
	CBE89_01520
	CBE89_08785
	CBE89_10530
	CBE89_13305
	CBE89_05045
	CBE89_05460
RXN0-3221	CBE89_10015
2TRANSKETO-RXN // 1TRANSKETO-RXN	CBE89_07470
	CBE89_09415
RXN-17809	CBE89_08230
RXN-8344	CBE89_00290
	CBE89_09880
	CBE89_05310
3.4.21.88-RXN	CBE89_06020
	CBE89_10780
	CBE89_04970
	CBE89_12400
	CBE89_07180
	CBE89_07770
RXN-20927 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_06720
TETHYDPICSUCC-RXN	CBE89_08640
	CBE89_12880
	CBE89_07910
	CBE89_13045
	CBE89_02690
	CBE89_05395
	CBE89_12055
RXN27OU-7	CBE89_03150
RXN-11347 // RXN-8975 // PHOSNACMURPENTATRANS-RXN	CBE89_05080
	CBE89_08915
	CBE89_04340
	CBE89_10400
RXN0-2042	CBE89_01625
	CBE89_03250
	CBE89_02225
	CBE89_03810
	CBE89_03475
3.6.4.8-RXN	CBE89_07205
	CBE89_00570
RXN-16165 // METHIONINE--TRNA-LIGASE-RXN	CBE89_09300
	CBE89_04595
URACIL-PRIBOSYLTRANS-RXN	CBE89_07635
UROCANATE-HYDRATASE-RXN	CBE89_08430
	CBE89_05530
	CBE89_10245
	CBE89_05880
RXN0-5131	CBE89_09835
	CBE89_06570
	CBE89_00005
UNDECAPRENYL-DIPHOSPHATASE-RXN	CBE89_07265
3.8.1.11-RXN // RXN-6263 // RXN-6264 // 2-HALOACID-DEHALOGENASE-RXN	CBE89_04660
	CBE89_01940
	CBE89_01120
	CBE89_05755
RXN-5961	CBE89_02815
	CBE89_11905
	CBE89_01450
	CBE89_02460
	CBE89_12010
	CBE89_11465
	CBE89_05275
CATAL-RXN // RXN-14189 // RXN66-1	CBE89_12820
	CBE89_11305
	CBE89_11560
UDPNACETYLGLUCOSAMENOLPYRTRANS-RXN	CBE89_03240
RXN-14959 // RXN0-949 // RXN-14950 // RXN-14957	CBE89_04875
	CBE89_11685
	CBE89_02955
	CBE89_07045
	CBE89_03575
	CBE89_08605
IPPISOM-RXN	CBE89_04275
	CBE89_00705
	CBE89_12730
	CBE89_11650
	CBE89_09625
	CBE89_03295
	CBE89_08090
	CBE89_01525
	CBE89_11015
RIBOKIN-RXN	CBE89_10535
	CBE89_02155
	CBE89_10985
1.2.1.66-RXN // RXN-18814 // ALCOHOL-DEHYDROG-RXN	CBE89_12500
	CBE89_04400
	CBE89_04935
HISTCYCLOHYD-RXN	CBE89_05335
	CBE89_08370
	CBE89_09485
	CBE89_04200
DALADALALIG-RXN	CBE89_07710
	CBE89_12340
	CBE89_03745
	CBE89_02290
	CBE89_06025
	CBE89_04745
RXN-12303 // RXN-19671 // NQOR-RXN // RXN0-5330 // RXN1YI0-16	CBE89_10875
GLUTRACE-RXN	CBE89_03405
	CBE89_09820
	CBE89_03425
	CBE89_01230
	CBE89_02695
	CBE89_06960
	CBE89_02535
	CBE89_08015
	CBE89_06810
	CBE89_07775
	CBE89_11805
	CBE89_07330
	CBE89_01690
	CBE89_00840
	CBE89_04150
	CBE89_08735
RXN-14903 // RXN0-7008 // PYRROLINECARBDEHYDROG-RXN // RXN-14116	CBE89_02335
	CBE89_01765
	CBE89_07165
5.99.1.3-RXN	CBE89_01075
ABC-34-RXN	CBE89_10405
	CBE89_04680
	CBE89_09725
	CBE89_05155
RIBONUCLEOSIDE-DIP-REDUCTI-RXN // GDPREDUCT-RXN // RXN0-722 // UDPREDUCT-RXN // ADPREDUCT-RXN // RXN0-747 // RIBONUCLEOSIDE-DIP-REDUCTII-RXN // RXN0-748 // CDPREDUCT-RXN	CBE89_03895
	CBE89_00575
	CBE89_01150
	CBE89_09400
ADENPRIBOSYLTRAN-RXN // RXN-14270	CBE89_06515
	CBE89_00220
	CBE89_11165
	CBE89_11370
	CBE89_09980
	CBE89_10250
	CBE89_05885
GALACTOKIN-RXN	CBE89_10645
DAHPSYN-RXN	CBE89_05010
MALATE-DEH-RXN	CBE89_03945
2-NITROPROPANE-DIOXYGENASE-RXN // RXN-16322	CBE89_09155
	CBE89_00010
	CBE89_04900
	CBE89_07800
3.4.21.92-RXN	CBE89_03935
	CBE89_00995
	CBE89_01355
RXN-16637 // RXN-12460 // AMINOCYL-TRNA-HYDROLASE-RXN	CBE89_01395
3.5.1.27-RXN // 3.5.1.88-RXN	CBE89_07575
	CBE89_08130
	CBE89_08210
	CBE89_05760
	CBE89_02820
	CBE89_10695
	CBE89_03300
RXN-9635 // RXN-9634	CBE89_12165
	CBE89_12810
	CBE89_12375
	CBE89_03090
	CBE89_02610
RXN-9633 // 3-OXOACYL-ACP-REDUCT-RXN // ENOYL-ACP-REDUCT-NADPH-RXN	CBE89_03925
	CBE89_11525
	CBE89_13000
CHORISMATE-SYNTHASE-RXN	CBE89_06660
RXN-21562 // RXN-21550	CBE89_11565
6-CARBOXYHEXANOATE--COA-LIGASE-RXN	CBE89_06150
UDPGLCNACEPIM-RXN	CBE89_04445
	CBE89_04305
GLUTRNAREDUCT-RXN	CBE89_12075
	CBE89_01835
	CBE89_00850
	CBE89_02960
	CBE89_11760
	CBE89_08885
	CBE89_04815
	CBE89_11235
PROPIONYL-COA-CARBOXY-RXN	CBE89_02130
	CBE89_00465
	CBE89_06200
	CBE89_00710
RXN-11355 // RXN-12243 // RXN-12244	CBE89_03550
TRANS-RXN-118	CBE89_08400
	CBE89_01530
	CBE89_09105
	CBE89_04495
	CBE89_04120
TRANSALDOL-RXN	CBE89_07475
	CBE89_06870
	CBE89_05495
RXN27OU-2	CBE89_09885
	CBE89_09235
	CBE89_06030
	CBE89_09365
	CBE89_01015
	CBE89_10110
RXN0-6484 // RXN0-4222 // 3.1.13.5-RXN // RXN0-6483	CBE89_06350
	CBE89_09065
RXN0-2621	CBE89_11875
RXN0-4261	CBE89_10045
GLUTAMIDOTRANS-RXN // RXN-17900 // GLUTAMIN-RXN	CBE89_05330
	CBE89_12660
	CBE89_00345
	CBE89_08235
	CBE89_07360
	CBE89_01895
PREPHENATEDEHYDROG-RXN	CBE89_13050
	CBE89_02700
	CBE89_11285
	CBE89_05620
	CBE89_05400
ABC-27-RXN	CBE89_03155
RXN0-5131	CBE89_00855
	CBE89_05240
	CBE89_07185
	CBE89_08560
RXN0-2042	CBE89_01630
	CBE89_04240
	CBE89_08820
	CBE89_09590
	CBE89_04830
	CBE89_00580
	CBE89_12220
	CBE89_07640
	CBE89_09435
	CBE89_11620
	CBE89_08940
	CBE89_12405
	CBE89_08760
PYRUVATE-CARBOXYLASE-RXN	CBE89_10815
TRYPTOPHAN--TRNA-LIGASE-RXN	CBE89_10935
	CBE89_08330
	CBE89_02825
6.3.5.7-RXN // RXN-20082 // RXN-20083 // 6.3.5.6-RXN // RXN-20080 // RXN-20081 // GLUTAMIN-RXN	CBE89_07945
	CBE89_11985
	CBE89_05765
PYRIMSYN1-RXN	CBE89_05560
NICOTINATEPRIBOSYLTRANS-RXN	CBE89_03375
	CBE89_01455
	CBE89_09200
RXN-19916 // F16ALDOLASE-RXN // RXN-8631 // SEDOBISALDOL-RXN	CBE89_02465
	CBE89_12600
RXN0-2621	CBE89_06780
	CBE89_11570
	CBE89_03725
	CBE89_07210
3.1.1.73-RXN	CBE89_07005
	CBE89_02965
	CBE89_07295
	CBE89_12525
	CBE89_03580
	CBE89_08580
	CBE89_00470
	CBE89_12435
	CBE89_03435
3.1.22.4-RXN	CBE89_06480
	CBE89_10905
	CBE89_05120
LEUCINE--TRNA-LIGASE-RXN	CBE89_01535
	CBE89_13265
	CBE89_10540
RXN0-2606	CBE89_04375
RIB5PISOM-RXN	CBE89_03850
RXN-18693 // RXN0-2023 // RXN-16820	CBE89_08040
THRESYN-RXN	CBE89_04785
	CBE89_07715
	CBE89_09655
	CBE89_00965
	CBE89_02295
	CBE89_02095
MERCURY-II-REDUCTASE-RXN	CBE89_09950
RXN-11109	CBE89_06035
1.13.11.15-RXN	CBE89_01320
	CBE89_01140
	CBE89_08190
2.5.1.19-RXN	CBE89_10115
	CBE89_08470
INORGPYROPHOSPHAT-RXN	CBE89_02705
3.4.21.92-RXN	CBE89_03910
	CBE89_11810
	CBE89_05625
	CBE89_02540
	CBE89_00860
	CBE89_08850
	CBE89_01695
URACIL-PRIBOSYLTRANS-RXN	CBE89_10890
	CBE89_11345
	CBE89_06285
	CBE89_12965
RXN0-2621	CBE89_07530
	CBE89_02340
	CBE89_01770
	CBE89_00410
PEPCARBOX-RXN	CBE89_11035
	CBE89_10410
	CBE89_11725
RXN-7572 // L-LACTATE-DEHYDROGENASE-RXN	CBE89_01975
	CBE89_01950
	CBE89_08115
	CBE89_06415
	CBE89_03515
	CBE89_00585
RXN-12514 // SPERMIDINESYN-RXN	CBE89_00225
	CBE89_09525
RXN0-4522	CBE89_11170
	CBE89_10255
RXN-21036	CBE89_05890
	CBE89_03780
TRANS-RXN27OU-11	CBE89_01250
	CBE89_09460
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	CBE89_05185
2.4.1.57-RXN	CBE89_06450
	CBE89_02830
	CBE89_01400
	CBE89_07580
	CBE89_12630
	CBE89_08135
	CBE89_05770
BIOTINLIG-RXN // RXN0-7192	CBE89_10700
RXN0-4961 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_07840
	CBE89_07430
	CBE89_03450
PRPPAMIDOTRANS-RXN	CBE89_03095
	CBE89_13055
	CBE89_11530
	CBE89_12015
	CBE89_00865
TRANS-RXN-1 // TRANS-RXN-137	CBE89_11575
	CBE89_02405
RXN-15007 // ACETYLORNTRANSAM-RXN	CBE89_06845
	CBE89_02970
	CBE89_09550
TRANS-RXN-141 // TRANS-RXN-141A	CBE89_07085
	CBE89_02080
	CBE89_04165
RXN-12353	CBE89_00475
TRANS-RXN27OU-11	CBE89_08790
	CBE89_13100
	CBE89_07170
	CBE89_04110
GLU6PDEHYDROG-RXN	CBE89_07480
	CBE89_12475
	CBE89_03665
	CBE89_10545
	CBE89_04055
	CBE89_05050
	CBE89_10020
	CBE89_00295
	CBE89_11400
	CBE89_04975
	CBE89_10840
	CBE89_12195
	CBE89_06040
TRANS-RXN27OU-17	CBE89_12240
	CBE89_10785
	CBE89_09245
RXN0-5462	CBE89_10120
	CBE89_11965
	CBE89_01280
	CBE89_00015
	CBE89_07915
	CBE89_09360
RXN-16649 // RXN-16659 // RXN-11302 // RXN-19253 // RXN-11351 // RXN-19256 // RXN-19249 // 3.4.16.4-RXN // RXN-11065 // 3.4.17.8-RXN	CBE89_02710
6.3.5.7-RXN // RXN-20082 // RXN-20083 // 6.3.5.6-RXN // RXN-20080 // RXN-20081 // GLUTAMIN-RXN	CBE89_07980
	CBE89_00350
	CBE89_04955
	CBE89_12560
RXN-12002	CBE89_05630
	CBE89_00870
	CBE89_06915
	CBE89_03160
1.8.4.12-RXN	CBE89_06365
	CBE89_08705
	CBE89_07805
UDP-NACMURALA-GLU-LIG-RXN	CBE89_05085
	CBE89_10080
	CBE89_04345
2.1.1.63-RXN	CBE89_00415
	CBE89_04765
	CBE89_06550
	CBE89_04600
RXN0-2042	CBE89_01635
RXN0-5131	CBE89_02230
	CBE89_04135
	CBE89_03815
	CBE89_02140
	CBE89_07645
	CBE89_08435
	CBE89_05535
	CBE89_09840
	CBE89_05895
UDPMANNACADEHYDROG-RXN	CBE89_04505
	CBE89_08240
	CBE89_09385
RXN0-5131	CBE89_12290
	CBE89_04025
	CBE89_02835
	CBE89_05595
	CBE89_12455
	CBE89_04525
	CBE89_02055
	CBE89_05775
3.2.2.21-RXN	CBE89_01040
	CBE89_11910
	CBE89_03535
RXN-12195 // NUCLEOSIDE-TRIPHOSPHATASE-RXN	CBE89_09050
	CBE89_02615
R311-RXN // RXN-17608 // RXN-14728 // GUANIDINOBUTANAMIDE-NH3-RXN // AMIDASE-RXN // PYRAZIN-RXN // RXNN-404 // RXN-14727	CBE89_02000
2.3.1.157-RXN // NAG1P-URIDYLTRANS-RXN	CBE89_09085
	CBE89_02470
	CBE89_01865
	CBE89_02180
	CBE89_12825
	CBE89_07395
	CBE89_00875
	CBE89_11580
RXN-11484 // 7KAPSYN-RXN	CBE89_06155
IMP-DEHYDROG-RXN	CBE89_11310
	CBE89_08985
	CBE89_02975
	CBE89_11690
	CBE89_07050
	CBE89_03585
	CBE89_01840
	CBE89_04280
	CBE89_09990
	CBE89_00480
	CBE89_11600
	CBE89_11655
	CBE89_00150
	CBE89_08095
	CBE89_01540
	CBE89_11240
	CBE89_09490
	CBE89_10550
SUCCINYLDIAMINOPIMTRANS-RXN	CBE89_08670
	CBE89_04205
	CBE89_01190
	CBE89_05340
	CBE89_04405
	CBE89_11080
	CBE89_06320
	CBE89_01925
	CBE89_07720
	CBE89_00715
	CBE89_03750
	CBE89_06045
HOMOSERDEHYDROG-RXN	CBE89_08310
	CBE89_10125
	CBE89_09220
	CBE89_04095
RXN-1961	CBE89_02715
	CBE89_09890
	CBE89_03975
	CBE89_12260
	CBE89_09135
	CBE89_11815
	CBE89_05635
PANTOATE-BETA-ALANINE-LIG-RXN	CBE89_03950
	CBE89_00880
	CBE89_02545
	CBE89_06725
	CBE89_12365
PROTOHEMEFERROCHELAT-RXN	CBE89_07335
	CBE89_01700
	CBE89_12885
RIBOSYLHOMOCYSTEINASE-RXN	CBE89_12380
	CBE89_01775
	CBE89_04470
	CBE89_02345
	CBE89_09190
GLUC1PADENYLTRANS-RXN	CBE89_08585
SERINE--TRNA-LIGASE-RXN // RXN0-2161	CBE89_02030
	CBE89_00420
	CBE89_10415
	CBE89_09025
3.1.26.3-RXN	CBE89_05405
	CBE89_00590
	CBE89_01155
PROTEIN-KINASE-RXN	CBE89_05015
	CBE89_00230
	CBE89_10260
	CBE89_03485
	CBE89_01405
TRANS-RXN0-240	CBE89_05900
	CBE89_11935
	CBE89_06590
S-ADENMETSYN-RXN	CBE89_07585
TRANS-RXN27OU-23	CBE89_03625
2.7.7.60-RXN	CBE89_02840
	CBE89_08140
	CBE89_10705
RXN-14569	CBE89_08195
	CBE89_03590
	CBE89_07270
TRYPSYN-RXN // RXN0-2381 // RXN0-2382	CBE89_01265
AIRS-RXN	CBE89_03100
	CBE89_13060
	CBE89_11535
	CBE89_12020
	CBE89_13005
SHIKIMATE-KINASE-RXN	CBE89_06665
TRNA-GUANINE-N7--METHYLTRANSFERASE-RXN	CBE89_02160
	CBE89_00885
	CBE89_04310
	CBE89_08610
	CBE89_01905
	CBE89_02980
	CBE89_03190
	CBE89_11055
	CBE89_08890
	CBE89_09110
RXN-11109	CBE89_00485
	CBE89_06205
	CBE89_13105
	CBE89_04805
	CBE89_13175
	CBE89_07485
	CBE89_03555
	CBE89_08405
	CBE89_01545
	CBE89_10555
TYROSINE--TRNA-LIGASE-RXN	CBE89_06875
	CBE89_05500
	CBE89_00300
THIOESTER-RXN // RXN0-5390	CBE89_06470
	CBE89_06050
3.8.1.11-RXN // RXN-6263 // RXN-6264 // 2-HALOACID-DEHALOGENASE-RXN	CBE89_10130
	CBE89_08285
	CBE89_10990
	CBE89_06715
O-SUCCINYLBENZOATE-COA-SYN-RXN	CBE89_11880
RXN0-4261	CBE89_10050
GUANPRIBOSYLTRAN-RXN // HYPOXANPRIBOSYLTRAN-RXN	CBE89_02720
RXN0-5131	CBE89_12665
	CBE89_00355
	CBE89_07365
	CBE89_04070
	CBE89_03410
CDPDIGLYSYN-RXN // RXN0-5515 // RXN-20524	CBE89_05640
	CBE89_00890
THIAMIN-PYROPHOSPHOKINASE-RXN	CBE89_06920
	CBE89_13030
RXN0-1281	CBE89_03165
	CBE89_10090
RXN-11078	CBE89_02090
	CBE89_00425
	CBE89_03655
	CBE89_08825
RXN0-5065	CBE89_01640
RXN0-5131	CBE89_04245
HISTPRATPHYD-RXN	CBE89_07245
	CBE89_10960
RXN1A0-6303	CBE89_09595
	CBE89_00595
BRANCHED-CHAINAMINOTRANSFERVAL-RXN // BRANCHED-CHAINAMINOTRANSFERLEU-RXN // BRANCHED-CHAINAMINOTRANSFERILEU-RXN	CBE89_04920
	CBE89_10265
	CBE89_07650
	CBE89_08765
	CBE89_01410
	CBE89_08945
	CBE89_05905
	CBE89_08335
RXN0-302	CBE89_02845
	CBE89_10860
3.1.13.3-RXN	CBE89_05780
	CBE89_05600
	CBE89_00020
GTPPYPHOSKIN-RXN // PPGPPSYN-RXN // RXN0-6427	CBE89_06520
RXN0-12 // RXN0-14 // TRANS-RXN-141 // TRANS-RXN-141A // TRANS-RXN27OU-2	CBE89_04635
	CBE89_03695
	CBE89_05565
	CBE89_04865
	CBE89_02115
	CBE89_02300
	CBE89_12605
	CBE89_09810
	CBE89_02475
DNA-LIGASE-NAD+-RXN // RXN-17920 // RXN-17918 // RXN-17919	CBE89_08000
	CBE89_00895
S-ADENMETSYN-RXN	CBE89_06785
	CBE89_12530
	CBE89_02150
	CBE89_07010
	CBE89_02985
	CBE89_12705
	CBE89_07130
	CBE89_07300
	CBE89_03595
RXN0-12	CBE89_08720
	CBE89_00490
	CBE89_02235
	CBE89_08565
	CBE89_09715
	CBE89_06485
	CBE89_00155
	CBE89_10910
	CBE89_05125
	CBE89_01550
	CBE89_10560
1.1.1.274-RXN	CBE89_03855
SPERMIDINESYN-RXN	CBE89_08045
	CBE89_11245
	CBE89_12465
GALACTOKIN-RXN	CBE89_04730
	CBE89_07725
	CBE89_09660
	CBE89_00970
	CBE89_09955
	CBE89_06055
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	CBE89_01325
GCVMULTI-RXN // GCVP-RXN // RXN-8629 // GCVT-RXN	CBE89_04890
	CBE89_12185
	CBE89_10135
	CBE89_02725
	CBE89_04545
	CBE89_09895
	CBE89_04650
SUCCCOASYN-RXN	CBE89_01055
	CBE89_11840
	CBE89_12150
	CBE89_02200
	CBE89_00905
	CBE89_05645
	CBE89_04670
	CBE89_04060
	CBE89_02550
	CBE89_06730
	CBE89_08855
	CBE89_03605
	CBE89_01705
	CBE89_12890
	CBE89_11350
	CBE89_12970
	CBE89_07535
	CBE89_01780
	CBE89_00430
	CBE89_10420
	CBE89_11730
	CBE89_08120
	CBE89_08690
	CBE89_06420
3.2.2.23-RXN // RXN-21266 // RXN-18435 // 4.2.99.18-RXN	CBE89_05410
2.8.1.6-RXN // RXN-17472 // RXN-17473	CBE89_00600
	CBE89_03675
	CBE89_00235
RXN0-4522	CBE89_11175
	CBE89_01415
RXN0-5100	CBE89_05910
RXN-11588	CBE89_03785
TRANS-RXN27OU-1 // TRANS-RXN27OU-9	CBE89_08645
	CBE89_11070
	CBE89_05190
P-PANTOCYSDECARB-RXN // P-PANTOCYSLIG-RXN	CBE89_07590
GALPMUT-RXN	CBE89_02065
	CBE89_05465
	CBE89_02850
	CBE89_05785
	CBE89_12635
ATPSYN-RXN	CBE89_08145
	CBE89_09060
	CBE89_04005
	CBE89_07145
	CBE89_10710
	CBE89_04695
	CBE89_03865
	CBE89_07845
GLUTAMIDOTRANS-RXN // RXN-17900 // GLUTAMIN-RXN	CBE89_05315
	CBE89_00910
	CBE89_12200
	CBE89_09260
3-DEHYDROQUINATE-SYNTHASE-RXN // RXN-20673 // RXN-20674	CBE89_06670
	CBE89_07950
	CBE89_09335
RXN-10857 // H2NEOPTERINALDOL-RXN	CBE89_02740
	CBE89_13065
	CBE89_11540
	CBE89_13120
	CBE89_12025
	CBE89_02410
	CBE89_02990
RXN-13482 // ORNCARBAMTRANSFER-RXN	CBE89_06850
	CBE89_01460
	CBE89_09555
6PGLUCONOLACT-RXN	CBE89_07490
	CBE89_00305
THREDEHYD-RXN // RXN-15122	CBE89_05225
AMONITRO-RXN	CBE89_00495
	CBE89_06210
	CBE89_08795
	CBE89_13110
	CBE89_02040
	CBE89_01555
	CBE89_12760
RXN-11638	CBE89_05055
	CBE89_11820
	CBE89_10565
2PGADEHYDRAT-RXN	CBE89_09035
	CBE89_10025
	CBE89_04980
	CBE89_09420
ATPSYN-RXN	CBE89_08155
	CBE89_10790
	CBE89_03710
	CBE89_06060
	CBE89_04035
GTP-CYCLOHYDRO-I-RXN	CBE89_02730
	CBE89_10140
	CBE89_07920
ANTHRANSYN-RXN	CBE89_01285
	CBE89_06290
	CBE89_00360
RXN-14992	CBE89_08200
	CBE89_00915
RXN-20927 // DNA-DIRECTED-DNA-POLYMERASE-RXN	CBE89_12570
RXN-11586	CBE89_05650
PORPHOBILSYNTH-RXN	CBE89_12060
RXN0-14	CBE89_06925
	CBE89_09280
KDO-8PPHOSPHAT-RXN	CBE89_13225
	CBE89_03170
	CBE89_04605
	CBE89_02020
RXN-16650	CBE89_05090
	CBE89_10095
	CBE89_08770
	CBE89_09005
	CBE89_00435
	CBE89_10425
	CBE89_01645
	CBE89_03820
	CBE89_00605
THIAZOLSYN2-RXN	CBE89_05540
	CBE89_10270
	CBE89_07655
HISTIDINE-AMMONIA-LYASE-RXN	CBE89_08440
	CBE89_01420
	CBE89_05915
	CBE89_06575
	CBE89_06265
	CBE89_02855
	CBE89_05790
	CBE89_05605
	CBE89_00025
	CBE89_11915
	CBE89_01125
	CBE89_11835
4.2.99.18-RXN	CBE89_12745
	CBE89_00920
GLUTSEMIALDEHYDROG-RXN	CBE89_04080
TRANS-RXN27OU-18	CBE89_02480
	CBE89_12830
	CBE89_09780
TRNA-PSEUDOURIDINE-SYNTHASE-I-RXN	CBE89_11470
RXN0-5189	CBE89_09330
	CBE89_07400
	CBE89_11315
	CBE89_00180
	CBE89_02995
	CBE89_03985
	CBE89_11695
	CBE89_07055
	CBE89_03600
	CBE89_04285
	CBE89_00500
	CBE89_02250
	CBE89_11660
	CBE89_01560
PROTEIN-KINASE-RXN	CBE89_00930
	CBE89_04210
	CBE89_00160
	CBE89_09770
	CBE89_03310
	CBE89_11020
	CBE89_09495
	CBE89_10570
	CBE89_01195
	CBE89_12535
IGPSYN-RXN	CBE89_05345
	CBE89_04410
ASNSYNB-RXN // GLUTAMIN-RXN // ASNSYNA-RXN	CBE89_04940
	CBE89_11250
	CBE89_08375
	CBE89_11085
	CBE89_03755
RXN-13163 // RXN-8991 // 3-ISOPROPYLMALISOM-RXN	CBE89_07730
	CBE89_04010
GLUTAMINESYN-RXN	CBE89_04750
H2PTEROATESYNTH-RXN	CBE89_02735
	CBE89_10145
RXN1YI0-14	CBE89_12450
	CBE89_10880
	CBE89_11845
	CBE89_09830
	CBE89_03430
	CBE89_09900
	CBE89_01235
	CBE89_03635
	CBE89_08485
	CBE89_12765
	CBE89_05655
	CBE89_03610
RXN-7913 // RXN-11832	CBE89_06965
	CBE89_02555
	CBE89_08020
	CBE89_06735
PHENYLALANINE--TRNA-LIGASE-RXN	CBE89_06815
	CBE89_02350
	CBE89_01710
	CBE89_12895
RXN0-5462	CBE89_04155
	CBE89_01785
	CBE89_01080
	CBE89_10430
	CBE89_12360
	CBE89_03255
TRANS-RXN-125 // TRANS-RXN27OU-3	CBE89_05415
	CBE89_08570
	CBE89_09405
	CBE89_01160
	CBE89_05020
SUCCINATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	CBE89_00240
	CBE89_11180
RXN-8001 // HISTOLDEHYD-RXN // HISTALDEHYD-RXN	CBE89_05295
	CBE89_07340
	CBE89_11375
	CBE89_01425
	CBE89_09985
RXN0-4522 // RXN27OU-1 // RXN27OU-6	CBE89_05920
	CBE89_08745
	CBE89_11940
	CBE89_01360
3.6.3.41-RXN // TRANS-RXN-397 // TRANS-RXN0-162	CBE89_02860
	CBE89_04575
ATPSYN-RXN	CBE89_08150
	CBE89_08525
GLUC1PURIDYLTRANS-RXN	CBE89_09350
	CBE89_10715
	CBE89_04455
RXN-21036	CBE89_12190
	CBE89_12815
	CBE89_12120
